"Source","Name","Type","Target","Formula","Multiplier","Element","Time","Effects","Counter","Auto Target","SB","School","ID"
"Debuff Shot Follow-Up","Ice Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549153"
"Debuff Shot Follow-Up","Lightning Debuff Shot","NAT","Single enemy","","","","0.01","Causes [Imperil Lightning 10%] for 15 seconds","Y","Lowest HP% enemy","0","Machinist","30549154"
"Concentrate (Type-0) Follow-Up","Concentrate (Type-0)","NAT","Self","","","","0.01","Grants [Critical Damage +50% 1] and [Instant Cast 1]","N","Self","0","Special","30549178"
"Blind Stud Follow-Up","Blind Stud (BLK)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [Magical Quick Cast 2] to the user","Y","Lowest HP% enemy","0","Black Magic","30541811"
"Blind Stud Follow-Up","Blind Stud (SUM)","BLK","Single enemy","Magical","4.08","Fire, NE","0.01","Two single attacks (2.04 each), grants [Buff Fire 10% (15s)] to the user","Y","Lowest HP% enemy","0","Black Magic","30541812"
"Pulverizing Blow Follow-Up","Pulverizing Blow","PHY","Single enemy","Physical","5.20","Earth, Dark, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate, grants [Instant Cast 1] to the user","Y","Lowest HP% enemy","0","Spellblade","30547042"
"Righteous Fist Mode","Ice Cluster","PHY","Single enemy","Physical","6.12","Ice, NE","0.01","Six single attacks (1.02 each), 100% hit rate, grants [Physical Blink 3]","Y","Lowest HP% enemy","0","Monk","30548427"
"Chilling Lash Follow-Up","Chilling Lash","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10% (15s)] and [DEF, RES and MND -70% (8s)], removes positive effects","Y","Lowest HP% enemy","0","Black Magic","30541425"
"Greased Trigger Mode","Critical Enfilade","PHY","Single enemy","Physical","6.00","Lightning, NE","0.01","Twelve single ranged attacks (0.50 each), 50/75/100% additional critical chance if the user dealt 0/72001/240001 damage during the status, 100% hit rate, removes [Greased Trigger Mode] from the user","Y","Lowest HP% enemy","0","Machinist","30549253"
"Rugged Bond Mode","Safety Strike","PHY","Single enemy","Physical","0.82","Wind, NE","0.01","Two single ranged jump attacks (0.41 each), causes [Imperil Wind 10% (15s)], grants [40% Damage Reduction Barrier 1] to all allies","Y","Lowest HP% enemy","0","Dragoon","30548319"
"Unmatched Fury Mode","Dawning Ignorance","PHY","Single enemy","Physical","4.02","Fire, NE","0.01","Six single attacks (0.67 each), 25% additional critical chance, grants [Stoneskin: 100%] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549218"
"Triple Raining Arrows Follow-Up","Fire Shield","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), grants [40% Damage Reduction Barrier 1] to all allies, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549371"
"Triple Raining Arrows Follow-Up","Freeze Arrow","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), grants [Buff Ice 10% (15s)] to all allies every second cast, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549372"
"Triple Raining Arrows Follow-Up","Rain Shot","PHY","Single enemy","Physical","0.80","Fire, Ice, Water, NE","0.01","Two single ranged attacks (0.40 each), causes [Imperil Water 10% (15s)] every second cast, 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","30549373"
"Lance Flurry Follow-Up","Lance Flurry","PHY","Single enemy","Physical","2.40","Earth, Dark, NE","0.01","Randomly deals 4/5/6 (30/40/30%) single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31540022"
"Heavy Debuff Shot Follow-Up","Heavy Debuff Shot","NAT","Single enemy","","","","0.01","Causes [DEF, RES and MND -50% (8s)]","Y","Lowest HP% enemy","0","Machinist","31540146"
"Plasma Snipe Mode","Infinite Waltz","PHY","Single enemy","Physical","6.00","Lightning, NE","0.01","Twelve single ranged attacks (0.50 each), 100% hit rate, removes [Plasma Snipe Mode] from the user","Y","Lowest HP% enemy","0","Machinist","31540771"
"Hit & Charge Follow-Up","Hit & Charge (Fire)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Ice 10% (15s)], grants [Fire Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540870"
"Hit & Charge Follow-Up","Hit & Charge (Ice)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Wind 10% (15s)], grants [Ice Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540871"
"Hit & Charge Follow-Up","Hit & Charge (Water)","PHY","Single enemy","Physical","2.96","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.74 each), causes [Debuff Fire 10% (15s)], grants [Water Ability +30% Boost 1] to the user","Y","Lowest HP% enemy","0","Sharpshooter","31540872"
"Awoken Grand Mace","Gaia Charge","PHY","Single enemy","Physical","4.26","Earth, Wind, NE","0.01","Six single attacks (0.71 each), 100% hit rate, grants [Heavy Charge +1] to the user","Y","Lowest HP% enemy","0","Heavy","31540898"
"Ninja Slice Mode","Callous Blade","PHY","Single enemy","Physical","3.52","Fire, NE","0.01","One single attack (3.52) capped at 99999, 100% additional critical chance, damages the user for 35%/25%/15%/5% max HP scaling with uses, 100% hit rate","Y","Lowest HP% enemy","0","Samurai","31541016"
"Cross Spiral Follow-Up","Cross Spiral","PHY","Single enemy","Physical","0.82","Wind, NE","0.01","Two single ranged jump attacks (0.41 each), 100% hit rate, causes [Imperil Wind 10% (15s)], grants [Wind Ability +30% Boost 1]/[Wind Ability +50% Boost 1] to the user after casting Cross Spiral 1/2+ times","Y","Lowest HP% enemy","0","Dragoon","31541189"
"Dual Awoken Fire Mode I (Ace)","Dual Fira RF","BLK","Single enemy","Magical","8.40","Fire, NE","0.01","Two single attacks (4.20 each), grants [Buff Fire 10% (15s)] to the user every 3n+2 uses, grants [Instant Cast 1] to the user every 3n+3 uses","Y","Lowest HP% enemy","0","Black Magic","31541349"
"Dual Awoken Fire Mode II (Ace)","Dual Fira SHG","BLK","Single enemy","Magical","10.56","Fire, NE","0.01","Eight single attacks (1.32 each)","Y","Lowest HP% enemy","0","Black Magic","31541350"
"Dual Awoken Earth Mode II (Machina)","Dual Assault Rapier","PHY","Single enemy","Physical","2.88","Earth, Dark, NE","0.01","Six single attacks (0.48 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31541360"
"Focal Sword Follow-Up","Focal Sword","PHY","Single enemy","Physical","1.96","Earth, Dark, NE","0.01","Four single attacks (0.49 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","31520056"
"Dual Awoken Sharpshooter Mode II (Trey)","Dual Arrow Force","NAT","Single enemy","","","","0.01","Causes [Imperil Fire 10% (15s)], [Imperil Water 10% (15s)] and [Imperil Ice 10% (15s)]","Y","Lowest HP% enemy","0","Sharpshooter","31541423"
"Dual Awoken Sharpshooter Mode II (Trey)","Dual Tri-Shot","PHY","Single enemy","Physical","7.80","Fire, Ice, Water, NE","0.01","Ten single ranged attacks (0.78 each), 100% hit rate","Y","Lowest HP% enemy","0","Sharpshooter","31541424"
"Tri-Element Arrow Follow-Up","Tri-Element Arrow","PHY","Single enemy","Physical","1.24","Fire, Ice, Water, NE","0.01","Four single ranged attacks (0.31 each)","Y","Lowest HP% enemy","0","Sharpshooter","31541430"
"Dual Awoken Samurai Mode II (Jack)","Dual Carmine Blade","PHY","Single enemy","Physical","8.90","Fire, NE","0.01","Two single attacks (4.45 each), ignores DEF, grants [10% Damage Reduction Barrier 1] to the user","Y","Lowest HP% enemy","0","Samurai","31541488"
"Dual Awoken Darkness Mode II (Sice)","Dual Nemesis Force","PHY","Single enemy","Physical","2.64","Dark, NE","0.01","One single attack (2.64) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Darkness","31541485"
"Awoken Acumen","Energy Bolt","PHY","Single enemy","Physical","4.32","Lightning, Dark, NE","0.01","Six single attacks (0.72 each), 100% additional critical chance, 100% hit rate, grants [Buff Lightning 10% (15s)] to the user every second cast","Y","Lowest HP% enemy","0","Spellblade","31541528"
"Siphon Aura Follow-Up","Siphon Aura","WHT","Single enemy","Magical","8.79","Holy, NE","0.01","Three single attacks (2.93 each), grants [Buff Holy 10% (5s)] to the user every second cast","Y","Lowest HP% enemy","0","White Magic","31541639"
"Snipe Charge Follow-Up","Snipe Charge","PHY","Single enemy","Physical","1.95","Fire, Ice, Lightning, NE","0.01","Three single ranged attacks (0.65 each), 100% hit rate, grants [Tri-Color Bullet Damage Up] to the user","Y","Lowest HP% enemy","0","Machinist","31541826"
"Dual Awoken Ice Mode I (Seven)","Dual Cool Bute","BLK","Single enemy","Magical","8.40","Ice, NE","0.01","Two single attacks (4.20 each), causes [Imperil Ice 10% (15s)] every second cast","Y","Lowest HP% enemy","0","Black Magic","31541818"
"EX: Connected Hearts","Judgment","PHY","Single enemy","Physical","1.76","Fire, Lightning, Ice, NE","0.01","Four single ranged attacks (0.44 each), 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547110"
"Darkhand Scourge Follow-Up","Darkhand Scourge","PHY","Single enemy","Physical","1.95","Dark, NE","0.01","Five single attacks (0.39 each), 100% hit rate","Y","Lowest HP% enemy","0","Darkness","30547110"
"Blitz Follow-Up","Blitz","PHY","Single enemy","Physical","4.9","Fire, Lightning, Ice, NE","0.01","Ten single ranged attacks (0.46 each), 0.49 each if Riku is alive","Y","Lowest HP% enemy","0","Spellblade","30547143"
"Dark Barrage Follow-Up","Dark Barrage","PHY","Single enemy","Physical","2.10","Dark, NE","0.01","Five single ranged attacks (0.39 each), 0.42 each if Sora is alive","Y","Lowest HP% enemy","0","Darkness","30549760"
"Dual Hero Follow-Up","Dual Hero","PHY","Single enemy","Physical","4.24","Holy, Dark, NE","0.01","One single ranged attack (4.24) capped at 99999","Y","Lowest HP% enemy","0","Knight","30548345"
"Fiery Tornado Follow-Up","Fiery Tornado","NAT","Single enemy","Hybrid","-","Fire, Wind, NE","0.01","One single ranged hybrid attack (4.24 or 15.35) capped at 99999","Y","Lowest HP% enemy","0","Special","30545063"
"EX: Key of Destiny","Dual Arcanum","PHY","Single enemy","Physical","1.90","Holy, Dark, NE","0.01","Five single ranged attacks (0.38 each)","Y","Lowest HP% enemy","0","Knight","30548348"
"Firetooth Follow-Up","Firetooth","NAT","Single enemy","Hybrid","-","Fire, Wind, NE","0.01","Four single ranged hybrid attacks (0.42 or 1.85 each)","Y","Lowest HP% enemy","0","Special","30545064"
"Stoneshatter Skyshock Follow-Up","Stoneshatter Skyshock","PHY","Single enemy","Physical","2.56","Earth, NE","0.01","4/6/8 single ranged attacks (0.32 each) if the user has Physical Blink 0/1/2","Y","Lowest HP% enemy","0","Ninja","30549220"
"Deep Freeze Follow-Up","Deep Freeze","NAT","Single enemy","","","","0.01","Causes [Imperil Ice 10%] for 15 seconds","Y","Lowest HP% enemy","0","Black Magic","30541028"
"Surge Mode","Pyroburst","PHY","Single enemy","Physical","2.00","Fire, NE","0.01","Five single attacks (0.40 each), 100% hit rate","Y","Lowest HP% enemy","0","Combat","30548027"
"Sweet Coffee Follow-Up","Sweet Coffee","BLK","Single enemy","Magical","6.04","Earth, Holy, NE","0.01","Four single attacks (1.51 each)","Y","Lowest HP% enemy","0","Black Magic","30541047"
"Creator Mode","Fickle Crush","BLK","Single enemy","Magical","35.30","Earth, Holy, NE","0.01","3/5/15 single attacks (1.20 each) if the user dealt 0/72001/240001 damage with Earth attacks during the status, removes [Creator Mode] from the user. Additional one single attack (17.30) capped at 99999 if the final damage threshold was met","Y","Lowest HP% enemy","0","Black Magic","30541240"
"Awoken 2P","Banishra","WHT","Single enemy","Magical","15.35","Holy, NE","0.01","Five single attacks (2.87/2.92/2.97/3.02/3.07 each), restores HP (10/15/25/35/45) to all allies at rank 1/2/3/4/5 of the triggering ability","Y","Lowest HP% enemy","0","White Magic","30542260"
"Gleed Surge Mode","Crimson Straight","PHY","Single enemy","Physical","5.28","Fire, NE","0.01","Eight single attacks (0.66 each), grants [Stoneskin: 100%] to the user","Y","Lowest HP% enemy","0","Monk","30548328"
"Vagrant Knight Mode","Vagrant Knight Alpha 1","PHY","Single enemy","Physical","3.40","Fire, Earth, NE","0.01","One single attack (3.40) capped at 99999, grants [Buff Fire 10% (15s)] and [Buff Earth 10% (15s)] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Vagrant Knight Mode","Vagrant Knight Alpha 2","PHY","Single enemy","Physical","3.40","Fire, Earth, NE","0.01","One single attack (3.40) capped at 99999, grants [Buff Fire 30% (15s)] and [Buff Earth 30% (15s)] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Vagrant Knight Mode","Vagrant Knight Beta 1","PHY","Single enemy","Physical","3.40","Fire, Earth, NE","0.01","One single attack (3.40) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Vagrant Knight Mode","Vagrant Knight Beta 2","PHY","Single enemy","Physical","3.40","Fire, Earth, NE","0.01","One single attack (3.40) capped at 99999, causes [Imperil Fire 20% (15s)] and [Imperil Earth 20% (15s)], 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Vagrant Knight Mode","Vagrant Knight Gamma 1","PHY","Single enemy","Physical","3.40","Fire, Earth, NE","0.01","One single attack (3.40) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Vagrant Knight Mode","Vagrant Knight Gamma 2","PHY","Single enemy","Physical","6.80","Fire, Earth, NE","0.01","Two single attacks (3.40 each) capped at 99999, causes [Imperil Fire 10% (15s)] and [Imperil Earth 10% (15s)], grants [Buff Fire 10% (15s)] and [Buff Earth 10% (15s)] to the user, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547212"
"Awoken Lotus","Superior Light","WHT","All allies","","","","0.01","Restores HP (10/15/25/35/45) at rank 1/2/3/4/5 of the triggering ability","N","All allies","0","White Magic","30542564"
"Icemoon Flash Follow-Up","Icemoon Flash","PHY","Single enemy","Physical","8.90","Ice, NE","0.01","Two single attacks (4.45 each), ignores DEF, causes [Imperil Ice 10% (15s)], 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549219"
"Lava Flow Follow-Up","Lava Flow","PHY","Single enemy","Physical","5.20","Fire, Earth, NE","0.01","One single attack (5.20) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30547215"
"Azure Oblivion Follow-Up","Azure Oblivion 1","PHY","Single enemy","Physical","5.20","Ice, Wind, NE","0.01","One single attack (5.20) capped at 99999, causes [Imperil Ice 10% (15s)], grants [Buff Ice 10% (15s)] and [High Retaliate] to the user","Y","Lowest HP% enemy","0","Samurai","30549312"
"Azure Oblivion Follow-Up","Azure Oblivion 2","PHY","Single enemy","Physical","5.20","Ice, Wind, NE","0.01","One single attack (5.20) capped at 99999, causes [DEF, RES and MND -70% (8s)] and [Imperil Ice 10% (15s)], grants [Buff Ice 10% (15s)] to the user","Y","Lowest HP% enemy","0","Samurai","30549312"
"Branding Ice Blade Follow-Up","Branding Ice Blade","PHY","Single enemy","Physical","2.00","Ice, NE","0.01","Four single attacks (0.50 each), 100% hit rate","Y","Lowest HP% enemy","0","Samurai","30549313"
"Fluttering Rhapsody Follow-Up","Fluttering Rhapsody","BLK","Single enemy","Magical","8.31","Wind, NE","0.01","Three single attacks (2.77 each), grants [Buff Wind 10% (15s)] to all allies every second activation","Y","Lowest HP% enemy","0","Black Magic","31540783"
"Dual Awoken Wind Mode II (Serafie)","Mascot Guidance","BLK","Single enemy","Magical","12.24","Wind, NE","0.01","Four single attacks (3.06 each), grants [Wind Ability +30% Boost 1] to all allies","Y","Lowest HP% enemy","0","Black Magic","31541552"
"Fairy's Mischief Follow-Up","Fairy's Mischief","BLK","Single enemy","Magical","7.92","Wind, NE","0.01","Six single attacks (1.32 each), causes [Imperil Wind 10% (15s)] every second use, grants [Wind Ability +30% Boost 1] to the user every second use","Y","Lowest HP% enemy","0","Black Magic","31541556"
"EX: Prophesied Warrior","Bright Finale","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Holy attacks during the status","Y","Lowest HP% enemy","0","Knight","30548240"
"Furious Kick Finisher","Furious Kick","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Earth attacks during the status","Y","Lowest HP% enemy","0","Monk","30548120"
"Trinity Rush Follow-Up","Trinity Rush","PHY","Single enemy","Physical","13.03","Fire, Ice, Holy, NE","0.01","2/3/4/5/6/7/8 single attacks (0.96 each) capped at 19999 if the user used 0/2/4/6/8/10/12 Knight or Samurai abilities. Additional one single attack (5.35) capped at 99999","Y","Lowest HP% enemy","0","Samurai","30544272"
"Desperate Meteor Mode","Legendary Magic","BLK","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Earth attacks during the status, causes [Instant KO] (100%) to the user","Y","Lowest HP% enemy","0","Black Magic","30541106"
"Shadow Dragon Mode","Black Spell","BLK","Single enemy","Magical","34.60","Dark, NE","0.01","One single attack (11.80/20.50/34.60) capped at 99999 if the user used 5/9 Darkness abilities during the status","Y","Lowest HP% enemy","0","Darkness","30549267"
"Shadow Summon Finisher","Fang of Darkness","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each), grants [Instant Cast 1] to the user, removes [Shadow Summon Mode] from the user","Y","Lowest HP% enemy","0","Darkness","31541413"
"EX: Crystal Might","Spellblade Finish","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Spellblade abilities during the status","Y","Lowest HP% enemy","0","Spellblade","30547119"
"Dual Awoken Monk Mode II (Tifa)","Dual Zangan Blow","PHY","Single enemy","Physical","8.00","Earth, NE","0.01","One single attack (8.00) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Monk","31541541"
"Hot-Blooded Pilot Mode","High Up","NAT","All allies","","","","0.01","Grants [Jump +50% Boost 1]/[Wind Ability +50% Boost 1] to all allies if 0-2/3+ FF7 allies are alive","N","All allies","0","Dragoon","31541707"
"Blasting Frost","Blasting Frost","PHY","Single enemy","Physical","16.00","Ice, NE","0.01","Ten single attacks (0.96 each), 10/30/50% additional critical chance if the user used 0/5/9 Ice attacks during the status. Additional one single attack (6.40) capped at 99999 if the user used 9 Ice attacks during the status","Y","Lowest HP% enemy","0","Spellblade","30547027"
"Fated Burn Finisher","Fated Burn","PHY","Single enemy","Physical","12.40","Fire, NE","0.01","Ten single attacks (0.67 each) followed by one group attack (5.70) capped at 99999, 100% hit rate","Y","Lowest HP% enemy","0","Spellblade","30544407"
"Thievery Finisher","Thievery","PHY","Single enemy","Physical","7.68","Wind, NE","0.01","8/12/16 single attacks (0.96 each) if the user used 5/8 Thief abilities during the status","Y","Lowest HP% enemy","0","Thief","30548133"
"EX: Angel of Death","Ultima (IX)","BLK","All enemies","","","","2.50","Eight group attacks for 4.375% of the damage dealt with BLK attacks during the status","Y","All enemies","0","Black Magic","30547100"
"EX: Black Mage","Reason to Exist","BLK","Single enemy","Magical","17.30","Ice, Water, Lightning, NE","0.01","Ten single attacks (1.73 each)","Y","Lowest HP% enemy","0","Black Magic","30541228"
"Knightslayer Mode","Climb Break","PHY","All enemies","Physical","6.00","Holy, NE","0.01","Two group attacks (2.52~3.00 each scaling with targets) capped at 99999, 100% hit rate, restores HP for 100% of the user's maximum HP, grants [Last Stand] to the user","Y","All enemies","0","Knight","30548545"
"Lingering Flame Finisher","Lingering Flame","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Fire attacks during the status","Y","Lowest HP% enemy","0","Samurai","30549015"
"Saintly Arc Finisher","Saintly Arc","SUM","Single enemy","Magical","34.60","Holy, NE","0.01","One single attack (11.80/20.50/34.60) capped at 99999 if the user used 3/6 Holy attacks during the status, smart ether 0/1/2 to user","N","Lowest HP% enemy","0","Summoning","30543087"
"EX: Dreadwyrm Trance","Deathflare","SUM","All enemies","","","","2.50","Five group attacks for 7% of the damage dealt with SUM attacks during the status, smart ether 2 to the user","N","All enemies","0","Summoning","30511911"
"Wildfire Finisher","Wildfire","PHY","Single enemy","","","","2.50","Seven single ranged attacks for 4.29% of the damage dealt with Machinist abilities during the status","Y","Lowest HP% enemy","0","Machinist","30549053"
"Red Mana Mode","Sword of Defiance","BLK","Single enemy","Magical","22.20","Wind, Lightning, NE","0.01","Ten single attacks (2.02/2.12/2.22 each) scaling with uses","Y","Lowest HP% enemy","0","Black Magic","30541650"
"Legendary Engineer Mode Finisher","Volley Fire","PHY","Single enemy","Physical","3.37","Fire, Earth, Wind, Poison, NE","0.01","One single ranged attack (3.37) capped at 99999, 100% hit rate, removes [Legendary Engineer Mode] and [Legendary Engineer Mode Finisher] from the user","Y","Lowest HP% enemy","0","Machinist","31540952"
"Dual Awoken Scion Red Mage Mode I (Alisaie)","Dual Enchanted Riposte","BLK","Single enemy","Magical","21.20","Wind, Lightning, NE","0.01","Ten single attacks (0.01/2.12 each) if the user has Dual Black Mana level 0-3/4","Y","Lowest HP% enemy","0","Black Magic","31541680"
"Royal Mode","Point-Blank Warp-Strike","PHY","Single enemy","Physical","9.70","Fire, Earth, Lightning, NE","0.01","One single attack (3.10/6.20/9.70) capped at 99999 if the user used 0/7/11 Fire, Earth or Lightning attacks during the status, 100% hit rate","Y","Lowest HP% enemy","0","Combat","30544103"
"Shield of the King Finisher","Shield of the King","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Earth attacks during the status","Y","Lowest HP% enemy","0","Heavy","30549090"
"Culling Scythe Finisher","Culling Scythe","PHY","Single enemy","","","","2.50","One single attack capped at 99999 for 35% of the damage dealt with Dark attacks during the status","Y","Lowest HP% enemy","0","Darkness","30549165"
"EX: Snipe Mode","Raining Arrows","PHY","Single enemy","Physical","9.60","Fire, Ice, Water, NE","0.01","Ten single ranged attacks (0.96 each)","Y","Lowest HP% enemy","0","Sharpshooter","30549179"
"Dual Handgun Mode","Sparked Munitions","PHY","Single enemy","Physical","9.36","Lightning, NE","0.01","Twelve single ranged attacks (0.78 each), 100% hit rate","Y","Lowest HP% enemy","0","Machinist","31540772"
"EX: Perdition's Charge","Perdition's Blade","PHY","Single enemy","Physical","6.30","Fire, Earth, NE","0.01","One single attack (6.30) capped at 99999","Y","Lowest HP% enemy","0","Spellblade","30547216"
"Shadow Summon Mode","Twilight Fang","BLK","Single enemy","Magical","8.16","Dark, NE","0.01","Four single attacks (2.04 each)","Y","Lowest HP% enemy","0","Darkness","31541412"
"Kindred Sketch","Kindred Sketch 1","WHT","Single enemy","Magical","9.00","Water, NE","0.01","Six single attacks (1.50 each), restores HP (25) to all allies","Y","Lowest HP% enemy","0","White Magic","30542063"
"Kindred Sketch","Kindred Sketch 2","WHT","Single enemy","Magical","9.00","Water, Dark, NE","0.01","Six single attacks (1.50 each), restores HP (25) to all allies","Y","Lowest HP% enemy","0","White Magic","30542063"
"Kindred Sketch","Kindred Sketch 3","WHT","Single enemy","Magical","9.00","Water, Dark, Fire, NE","0.01","Six single attacks (1.50 each), restores HP (25) to all allies, grants [High Regen] to all allies","Y","Lowest HP% enemy","0","White Magic","30542063"
"Auto Storm's Retribution","Storm's Retribution","SUM","All enemies","Magical","5.70","Lightning, NE","0.01","Two group attacks (2.85 each), minimum damage 1100","N","All enemies","0","Summoning","30512139"
"Auto Firebolt Barrage","Firebolt Barrage","SUM","All enemies","Magical","6.80","Fire, Lightning","0.01","Four group attacks (1.70 each), minimum damage 1100","N","All enemies","0","Summoning","30512093"
"Auto Chain of Destruction","Chain of Destruction","SUM","Single enemy","Magical","7.80","Holy, NE","0.01","Five single attacks (1.56 each), minimum damage 1100","Y","Lowest HP% enemy","0","Summoning","30543082"
"Legendary Engineer Mode","Turret Cover Fire","PHY","Single enemy","Physical","4.39","Fire, Earth, Wind, Poison, NE","0.01","One single ranged attack (4.39), ignores DEF, 100% hit rate, causes [Imperil Fire 10% (15s)], [Imperil Earth 10% (15s)], [Imperil Wind 10% (15s)] and [Imperil Poison 10% (15s)]","Y","Lowest HP% enemy","0","Machinist","31540951"
"World Watcher Mode","Divine Justice","BLK","Single enemy","Magical","11.00","Earth, Holy, NE","0.01","0/2/4 single attacks (1.30 each) scaling with activations, followed by one single attack (11.00) capped at 99999, removes [World Watcher Mode] after three uses","Y","Lowest HP% enemy","0","Black Magic","31540613"
"Berserker's Rage (100%)","Attack","PHY","Single","Physical","1.50","-","1.50","One single attack (1.50)","Y","Random enemy","50","Combat",""
"Rage I (100%)","Cat Scratch","NAT","Random enemy","Physical","1.50","-","1.50","One single attack (1.50)","Y","Random enemy","50","Combat",""
"Gigavolt Rage (100%)","Megavolt Rage","PHY","Random enemy","Physical","2.10","Lightning","1.65","One single ranged attack (2.10)","N","Random enemy","50","Combat",""
"Meteor Rage (100%)","Mini Meteor Rage","PHY","All enemies","Physical","2.38","-","2.50","Two group ranged attacks (1.19 each), 100% hit rate","N","All enemies","50","Combat",""
"Feral Flame (30%)","Feral Flame","PHY","All enemies","Physical","2.25","Fire, NE","1.65","Three group attacks (0.75 each)","Y","All enemies","50","Combat",""
"Feral Flame (30%)","Feral Flame","PHY","Single enemy","Physical","2.70","Fire, NE","1.65","Three single attacks (0.90 each)","Y","Lowest HP% enemy","50","Combat",""
"Feral Flame (40%)","Feral Flame","PHY","Single enemy","Physical","1.00","Fire, NE","1.65","One single attack (1.00)","Y","Lowest HP% enemy","50","Combat",""
"Feral Healing (30%)","Feral Healing","NAT","All allies","","","","1.65","Restores HP for 30% of the target's maximum HP","N","All allies","50","Special",""
"Feral Healing (30%)","Feral Healing","NAT","Random ally","","","","1.65","Restores HP for 70% of the target's maximum HP","N","Random ally","50","Special",""
"Feral Healing (40%)","Feral Healing","NAT","Random ally","","","","1.65","Restores HP for 30% of the target's maximum HP","N","Random ally","50","Special",""
"Green Cherry (30%)","Attack","PHY","Single enemy","Physical","1.50","-","1.65","One single attack (1.50), 100% hit rate","N","Lowest HP% enemy","50","Combat",""
"Green Cherry (20%)","Ice Storm","PHY","All enemies","Physical","3.46","Ice, NE","1.65","Two group ranged attacks (1.73 each), 100% hit rate","N","All enemies","50","Combat",""
"Green Cherry (30%)","Slam","PHY","Single enemy","Physical","2.40","-","1.65","Two single attacks (1.20 each), 100% hit rate","N","Lowest HP% enemy","50","Combat",""
"Green Cherry (20%)","Take Aim","PHY","Single enemy","Physical","4.00","Ice, NE","1.65","Four single ranged attacks (1.00 each), 100% hit rate","N","Lowest HP% enemy","50","Combat",""
"Attach Fire","Attack","PHY","Single","Physical","1.00","Fire","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30501371"
"Attach Ice","Attack","PHY","Single","Physical","1.00","Ice","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30501451"
"Attach Lightning","Attack","PHY","Single","Physical","1.00","Lightning","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30501301"
"Attach Earth","Attack","PHY","Single","Physical","1.00","Earth","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30501411"
"Attach Wind","Attack","PHY","Single","Physical","1.00","Wind","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30501421"
"Attach Water","Attack","PHY","Single","Physical","1.00","Water","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30510093"
"Attach Holy","Attack","PHY","Single","Physical","1.00","Holy","1.65","One single attack (1.00)","N","Lowest HP% enemy","55","Special","30510053"
